symbol,datetime,settleTime,fundingRate,price,volume,amount,marketCap,FDV,circRatio,turnoverRatio,fromATH(%),fromATL(%),openInterest,circulation,issue,volume24h
BMT,2025-03-18 11:00:00,1742270400000,-0.016504,0.1942,4988203.0,9980257.669,78898303.99,194200000.0,0.4063,0.1969,-39.55,184.99,,406273450.0,1000000000.0,15532413.77289861
BOBA,2024-02-08 15:00:00,1707379200000,-0.010509,0.2477,998588.0,249514.4198,42511322.23,123850000.0,0.3432,0.1739,-96.9,269.18,,171624231.86,500000000.0,7391519.4000273
BOBA,2024-03-17 15:00:00,1710662400000,-0.006396,1.0258,696174.0,704293.2244,176052137.04,512900000.0,0.3432,0.042,-87.16,1428.87,,171624231.86,500000000.0,7391519.4000273
BOBA,2025-04-21 15:00:00,1745222400000,-0.012168,0.1064,17378792.0,1917619.6074,18260818.27,53200000.0,0.3432,0.4048,-98.67,58.58,,171624231.86,500000000.0,7391519.4000273
BRETT,2024-04-28 07:00:00,1714262400000,-0.015,0.0484,1802693.0,7427532.53,479636741.98,,,,,,,0.0,0.0,0.0
BOOP,2025-05-02 23:00:00,1746201600000,-0.005071,0.2578,28902838.0,8527738.6597,78507176.92,257798053.92,0.3045,0.0223,-47.2,1115.82,,304527451.19922674,999992451.1992269,1749931.95865168
BOOP,2025-05-05 15:00:00,1746432000000,-0.005034,0.2981,17468689.0,5766794.9814,90779633.2,298097749.7,0.3045,0.0193,-38.95,1305.88,,304527451.19922674,999992451.1992269,1749931.95865168
BR,2025-06-24 07:00:00,1750723200000,-0.005228,0.07965,9857052.0,7854964.3,18319500.0,79650000.0,0.23,56.8195,-63.89,104.13,,230000000.0,1000000000.0,1040904133.1857733
B,2025-05-22 07:00:00,1747872000000,-0.00511,0.24905,14287573.0,22778225.939,249050000.0,249050000.0,1.0,0.1055,-63.61,16564.92,,1000000000.0,1000000000.0,26273076.21509169
BLZ,2024-12-18 23:00:00,1734537600000,-0.00671,0.07206,11177945.0,8233319.061,33904552.6,36030000.0,0.941,0.024,-92.12,1087.67,,470504476.7774031,500000000.0,813805.84860143
BAN,2025-02-04 19:00:00,1738670400000,-0.02,0.0631,27856553.0,16029757.807,63097593.3,63097593.3,1.0,0.3072,-84.2,266156.44,,999961859.0,999961859.0,19382415.4387292
BAN,2025-02-09 19:00:00,1739102400000,-0.012028,0.0667,2494028.0,1757431.731,66697456.0,66697456.0,1.0,0.2906,-83.3,281346.99,,999961859.0,999961859.0,19382415.4387292
BAN,2025-02-18 15:00:00,1739865600000,-0.006541,0.0498,24351645.0,16348387.644,49798100.58,49798100.58,1.0,0.3892,-87.53,210035.83,,999961859.0,999961859.0,19382415.4387292
ACH,2025-01-27 15:00:00,1737964800000,-0.010227,0.028321,496358426.0,13955926.735205,266246039.3,283210000.0,0.9401,0.0968,-85.66,2017.06,,9401011239.182589,9999999999.999989,25780503.97503813
B3,2025-02-14 07:00:00,1739491200000,-0.005279,0.011406,3261037.0,3738668.1787,242864196.44,1140600000.0,0.2129,0.0165,-40.16,364.67,,21292670212.0,100000000000.0,4006044.52603957
B3,2025-05-28 11:00:00,1748404800000,-0.005032,0.005254,7615202.0,3848070.4231,111871689.29,525400000.0,0.2129,0.0358,-72.43,114.04,,21292670212.0,100000000000.0,4006044.52603957
AMP,2024-11-18 19:00:00,1731931200000,-0.005018,0.004834,34167.0,162125.408,407418409.55,482045862.55,0.8452,0.0205,-96.01,508.33,,84281838964.50209,99719872269.91672,8335440.10749711
AMP,2024-12-06 07:00:00,1733443200000,-0.008081,0.0109,47769.0,516078.931,918672044.71,1086946607.74,0.8452,0.0091,-91.0,1271.71,,84281838964.50209,99719872269.91672,8335440.10749711
AMP,2024-12-07 15:00:00,1733558400000,-0.009005,0.010857,44842.0,488321.405,915047925.64,1082658653.23,0.8452,0.0091,-91.03,1266.3,,84281838964.50209,99719872269.91672,8335440.10749711
AMP,2024-12-08 23:00:00,1733673600000,-0.005654,0.012013,121929.0,1469209.906,1012477731.48,1197934825.58,0.8452,0.0082,-90.08,1411.77,,84281838964.50209,99719872269.91672,8335440.10749711
CKB,2024-09-13 15:00:00,1726214400000,-0.008743,0.01272,4478305.0,54222682.825,599221904.15,608604169.24,0.9846,0.0207,-71.17,510.54,,47108640263.49392,47846239720.04911,12407680.12536601
ANIME,2025-02-23 11:00:00,1740283200000,-0.007497,0.0283,31346726.0,880080.393,156742511.76,283000000.0,0.5539,0.1162,-84.79,129.92,,5538604656.0,10000000000.0,18211144.9843434
ANIME,2025-06-13 03:00:00,1749758400000,-0.009699,0.02669,18246983.0,489921.33705,147825358.27,266900000.0,0.5539,0.1232,-85.66,116.84,,5538604656.0,10000000000.0,18211144.9843434
CORE,2025-03-30 15:00:00,1743321600000,-0.011375,0.4734,14742570.0,7163051.624,477643001.64,991190641.8,0.4819,0.0385,-92.68,37.92,,1008962825.5941052,2093769839.0352807,18393053.33219214
COMP,2025-04-01 15:00:00,1743494400000,-0.015867,47.33,47426642.0,23887460.8784,446871681.94,473300000.0,0.9442,0.0674,-94.81,85.27,,9441615.9294346,10000000.0,30107087.3483412
CTC,2025-03-12 15:00:00,1741766400000,-0.006217,0.6275,35395.0,225100.403,295813573.26,344851575.66,0.8578,0.1316,-92.79,401.18,,471416053.0,549564264.0,38941278.67843889
CLANKER,2025-04-28 19:00:00,1745841600000,-0.011201,38.54,136645.0,54397.8789,38540000.0,38540000.0,1.0,0.1284,-80.04,994518.04,,1000000.0,1000000.0,4950014.53106827
CLANKER,2025-05-19 11:00:00,1747627200000,-0.011586,33.34,2031475.0,696524.4107,33340000.0,33340000.0,1.0,0.1485,-82.74,860319.45,,1000000.0,1000000.0,4950014.53106827
